Date,Price,Open,High,Low,Change %
"Jan 05, 2004",1122.20,1108.50,1122.20,1108.50,1.24%
"Jan 06, 2004",1123.70,1122.20,1124.50,1118.40,0.13%
"Jan 07, 2004",1126.30,1123.70,1126.30,1116.50,0.23%
"Jan 08, 2004",1131.90,1126.30,1131.90,1124.90,0.50%
"Jan 09, 2004",1121.90,1131.90,1131.90,1120.90,-0.88%
"Jan 12, 2004",1127.20,1121.90,1127.80,1120.90,0.47%
"Jan 13, 2004",1121.20,1127.20,1129.10,1115.20,-0.53%
"Jan 14, 2004",1130.50,1121.20,1130.80,1121.20,0.83%
"Jan 15, 2004",1132.00,1130.50,1137.10,1124.50,0.13%
"Jan 16, 2004",1139.80,1132.00,1139.80,1132.00,0.69%
"Jan 20, 2004",1138.80,1139.80,1142.90,1135.40,-0.09%
"Jan 21, 2004",1147.60,1138.80,1149.20,1134.60,0.77%
"Jan 22, 2004",1143.90,1147.60,1150.50,1143.00,-0.32%
"Jan 23, 2004",1141.50,1143.90,1150.30,1136.80,-0.21%
"Jan 26, 2004",1155.40,1141.50,1155.40,1141.00,1.22%
"Jan 27, 2004",1144.00,1155.40,1155.40,1144.00,-0.99%
"Jan 28, 2004",1128.50,1144.00,1149.10,1126.50,-1.35%
"Jan 29, 2004",1134.10,1128.50,1134.40,1122.40,0.50%
"Jan 30, 2004",1131.10,1134.10,1134.20,1127.70,-0.26%
"Feb 02, 2004",1135.30,1131.10,1142.60,1127.90,0.37%
"Feb 03, 2004",1136.00,1135.30,1137.40,1131.30,0.06%
"Feb 04, 2004",1126.50,1136.00,1136.00,1124.70,-0.84%
"Feb 05, 2004",1128.60,1126.50,1131.20,1124.40,0.19%
"Feb 06, 2004",1142.80,1128.60,1142.80,1128.40,1.26%
"Feb 09, 2004",1139.80,1142.80,1144.50,1139.20,-0.26%
"Feb 10, 2004",1145.50,1139.80,1147.00,1138.70,0.50%
"Feb 11, 2004",1157.80,1145.50,1158.90,1142.30,1.07%
"Feb 12, 2004",1152.10,1157.80,1157.80,1151.40,-0.49%
"Feb 13, 2004",1145.80,1152.10,1156.90,1143.20,-0.55%
"Feb 17, 2004",1157.00,1145.80,1159.00,1145.80,0.98%
